date,track,hhmm,category_raw,category_norm,forecast_1,forecast_2,forecast_3,forecast_1_odds,forecast_2_odds,forecast_3_odds
2026-01-17,Newcastle,18:00,R12,R12,,,,,,
2026-01-17,Central Park,18:10,A,A,Ballymac Axel,Watcha Gotcookin,Hasty Lottie,3.2,4.33,4.5
2026-01-17,Central Park,18:30,A,A,The Other Winx,Bluejig Outlaw,Sportsmans Rosa,2.88,2.88,6.0
2026-01-17,Central Park,18:50,A,A,Fastlane Hoffa,Pro Parker,Hollybanks,2.5,3.2,5.0
2026-01-17,Central Park,19:10,A,A,Mongys Wild,Ballymac Madgie,Deadly Disco,1.83,5.5,6.0
2026-01-17,Central Park,19:30,A,A,Romeo Empire,Crafty Prospero,Princess Matilda,2.2,2.88,3.0
2026-01-17,Central Park,19:50,A,A,Droopys Softy,Havana Esesque,Ferryforth Ella,3.0,3.75,4.5
2026-01-17,Central Park,20:10,A,A,Bluejig Baron,Lets Go Johnny,Heygood Lookin,1.33,4.33,8.0
2026-01-17,Central Park,20:30,A,A,One More Tune,Good Rainbow,Harlequin Taluka,3.0,3.75,5.0
2026-01-17,Central Park,20:50,A,A,Yahoo Megan,Sevenofdiamonds,Cinderella Tell,1.83,5.0,6.0
2026-01-17,Central Park,21:10,A,A,Snowdon Mel,Droopys Bafta,Autumn Fleadh,2.0,4.0,4.0
2026-01-17,Central Park,21:30,A,A,Lets Go Girl,Half Jarred,Slick Skylark,1.73,5.0,5.5
2026-01-17,Hove,18:06,A,A,Seomra Power,Pocket Hollie,My Tiny Trainer,2.62,3.0,4.5
2026-01-17,Hove,18:26,A,A,Kerrs Delilah,Sly Bluebird,Jesse Gee James,3.5,4.0,4.0
2026-01-17,Hove,18:46,A,A,Punk Rock Thief,Pips Gamble,We Are Leeds,3.5,3.75,4.0
2026-01-17,Hove,19:06,A,A,Bingo Bullet,Farmway Shady,The Hill,3.25,4.33,4.33
2026-01-17,Hove,19:26,A,A,Tivoli Milo,Teddys Sister,Slick Mick,3.25,3.75,4.33
2026-01-17,Hove,19:46,A,A,Swift Chuck,Daring Duchess,Fauna Rae,3.5,4.0,4.33
2026-01-17,Hove,20:06,A,A,Airlie Coogee,Galliagh Sky,Antigua Belle,3.0,3.5,3.75
2026-01-17,Hove,20:26,A,A,Hypershock,Lets Go Yankees,Barley Mo,2.5,4.0,4.5
2026-01-17,Hove,20:46,A,A,Streets Of Bono,Romantic Richy,Harlequin Windy,2.88,3.25,4.5
2026-01-17,Hove,21:06,A,A,Radical Kylian,Kanturk Tony,Mertonaby Lad,2.88,3.25,4.5
2026-01-17,Hove,21:26,A,A,Farout Cian,Mob De Souza,Attractionone,2.88,3.75,4.33
2026-01-17,Hove,21:46,A,A,Droopys Lara,Snazzy Mary,Harlequin Libby,2.0,3.2,5.5
2026-01-17,Monmore,18:14,A,A,Peejaythedeejay,Relentless I Am,Droopys Jessy,3.75,4.5,4.5
2026-01-17,Monmore,18:34,A,A,Confident Ruby,Aero Peart,Whyaye Dubai,2.75,4.0,5.5
2026-01-17,Monmore,18:54,A,A,Ayle Bucks,Newinn Georgia,Kilara Jag,3.0,4.5,5.0
2026-01-17,Monmore,19:14,A,A,Aero Chubby,Holding Gina,Uphill Morsey,3.25,4.5,5.0
2026-01-17,Monmore,19:34,A,A,Tullymurry Troy,Bandit Paddy,Hitit Agendavy,2.1,3.5,5.0
2026-01-17,Monmore,19:54,A,A,Zenith Fotospor,Longacres Cash,Tree Top Copper,3.0,3.75,4.5
2026-01-17,Monmore,20:14,A,A,Noduff Golf,Longacres Shotta,Without Wings,2.38,3.25,4.0
2026-01-17,Monmore,20:34,A,A,Duchess,Amazing Heather,Suave Lily,3.25,4.0,4.33
2026-01-17,Monmore,20:54,A,A,Photo Package,Winnie Marie,Mustang General,2.5,3.75,3.75
2026-01-17,Monmore,21:14,A,A,Vixons Matt,Droopys Admirer,Sugar Girl Katie,3.75,3.75,4.33
2026-01-17,Monmore,21:34,A,A,Cazzers Lass,Bangon Erika,Bounceback Bucks,2.38,3.75,4.0
2026-01-17,Monmore,21:50,A,A,Aero Penda,Swift Zoo,Got The Large,2.62,3.75,6.0
2026-01-17,Dunstall Park,18:20,A,A,Lemon Yoli,Point Break,Halcrow Saltire,3.75,4.0,6.0
2026-01-17,Dunstall Park,18:38,A,A,Dadurunrun,Lynnia Max,King Richie,2.88,4.5,5.0
2026-01-17,Dunstall Park,18:58,A,A,Amys Star,Swift Wag,Moanteen Molly,2.62,3.5,5.0
2026-01-17,Dunstall Park,19:18,A,A,Mohican Lisa,Haka Luigi,Amazing Pixie,2.88,4.0,6.0
2026-01-17,Dunstall Park,19:38,A,A,Crokers Bic,Moneypoint Wiljo,Jab And Run,3.5,4.0,4.5
2026-01-17,Dunstall Park,19:58,A,A,Distant Maggie,Loveland,Ballymac Og,2.75,3.75,4.0
2026-01-17,Dunstall Park,20:18,A,A,Ceejay Sparkle,Shortwood Design,Got One Better,1.36,4.5,7.0
2026-01-17,Dunstall Park,20:38,A,A,Heathmill Nidge,Signet Maisie,Cappaneale Rocky,3.5,4.0,5.0
2026-01-17,Dunstall Park,20:58,A,A,Swift Ida,Burrow Puma,Kelseys Angel,2.2,4.0,5.5
2026-01-17,Dunstall Park,21:18,A,A,Mercia Thor,Distant Pablo,Ridgedale Zuni,2.88,3.5,4.0
2026-01-17,Dunstall Park,21:38,A,A,Shockwave Suhail,Mohican Lucy,Limekiln Pam,3.5,3.5,3.75
2026-01-17,Dunstall Park,21:54,A,A,Pandemonium Blue,Blazeaway Jorge,Darley Pope,3.25,4.5,5.5
2026-01-17,Romford,18:42,A,A,Rapido Jane,Stonepark Susie,Knockdrinna Lass,3.75,4.0,5.0
2026-01-17,Romford,19:02,A,A,Maxgrove Diamond,Hollywood Paso,Jeopardy Venus,3.0,3.75,4.0
2026-01-17,Romford,19:22,A,A,Da Young Lad,Underground Zeus,El Regreso,2.38,5.5,5.5
2026-01-17,Romford,19:42,A,A,Olwinn Swift,Miami Diversity,Crohane Topaz,3.5,3.5,5.0
2026-01-17,Romford,20:02,A,A,Urry Up Nicky,Crossfield Becca,Mr Molesley,3.5,4.0,5.5
2026-01-17,Romford,20:22,A,A,Queen Libianca,Little Gael,Bensourboy,2.75,4.0,5.0
2026-01-17,Romford,20:42,A,A,Distant Rover,Bubbly Amber,Droopys Swanky,3.25,3.75,6.5
2026-01-17,Romford,21:02,A,A,Smelly Nellie,Blackrose Bond,Pricey Emma,2.0,5.0,5.5
2026-01-17,Romford,21:22,A,A,Mollycoddle,Miss Manage,Newtown Anna,3.5,4.0,4.5
2026-01-17,Romford,21:42,A,A,Goulane Vegas,Bubbly Queenie,Hollywood Samba,2.75,3.75,5.0
2026-01-17,Romford,21:58,A,A,Tip Top Niamh,Crossfield Amy,Jeopardy Raven,2.38,3.25,5.0
2026-01-17,Romford,22:20,A,A,Siomhas Princess,Bubbly Thunder,Bombay Buck,2.5,2.88,3.25
2026-01-17,Oxford,18:04,A,A,Savana Ripple,Millbank Queenie,Alohas Rascal,2.88,4.33,4.5
2026-01-17,Oxford,18:21,A,A,All Long,Silvertown Blues,Ballymac Dashel,3.25,3.5,4.0
2026-01-17,Oxford,18:39,A,A,Pauls Opinion,Footfield Stitch,Springwood Kane,3.5,3.5,4.5
2026-01-17,Oxford,18:56,A,A,Gert Lush,Baggios Nikita,Savana Maggiemay,1.8,4.33,5.5
2026-01-17,Oxford,19:14,A,A,Bristol Lad,Ballydoyle Boo,Maree Master,2.88,4.0,4.5
2026-01-17,Oxford,19:31,A,A,Ballymac Lez,Ballymac Mags,Drews Fantasy,1.14,3.75,6.5
2026-01-17,Oxford,19:51,A,A,Savana Sparky,Savana Rip,Hoxton Star,2.25,3.75,4.33
2026-01-17,Oxford,20:09,A,A,Corcass Honey,Hiya Blackie,Savana Marylou,2.0,3.5,4.5
2026-01-17,Oxford,20:26,A,A,Ballymac Indo,Showemyourtail,Jazzy Vibe,3.0,3.75,4.0
2026-01-17,Oxford,20:43,A,A,Ballymac Shelly,Ma Baker,Classic Waltz,2.88,3.5,4.0
2026-01-17,Oxford,21:01,A,A,Spot On Amethyst,Mylane Curly,Savana Ohmy Jo,3.5,3.75,4.0
2026-01-17,Oxford,21:18,A,A,Savana Sakari,Jurassic Joker,Savana Boycie,2.25,3.75,4.5
2026-01-17,Doncaster,18:11,A,A,Royal Flush,Emers Jazzy,Missyoulikecrazy,1.2,4.0,8.0
2026-01-17,Doncaster,18:29,A,A,Cockney Summer,Ballymac Alexis,Stoneparkfortune,2.2,2.25,5.5
2026-01-17,Doncaster,18:46,A,A,Roundies Shadow,Abigails Sunny,Grouchos Emily,2.38,4.0,5.0
2026-01-17,Doncaster,19:04,A,A,The Frogs Legacy,Links Gloria,Cockneychampagne,2.75,3.5,4.5
2026-01-17,Doncaster,19:24,A,A,Slaneyside Jan,Railteen Sarah,Abigail Surprise,2.25,3.25,4.33
2026-01-17,Doncaster,19:42,A,A,Leahs Pat,Grovenor Apache,Ballinabola Zoey,2.38,3.75,4.0
2026-01-17,Doncaster,19:58,A,A,Toddys Wolf,Slaneyside Swade,Grovenor Mona,1.67,2.75,3.75
2026-01-17,Doncaster,20:16,A,A,Look Smart,Butlers Lane,Unanimous Leon,3.0,3.5,3.5
2026-01-17,Doncaster,20:34,A,A,Sole Focus,Tiermana Blaze,Ballymac Alyssa,2.1,2.5,5.0
2026-01-17,Doncaster,20:52,A,A,Haggard Badger,Bouncing Monarch,Soapy Suds,2.1,3.25,4.5
2026-01-17,Sheffield,19:30,A,A,Catunda Missy,Thee Quiet Man,Lightfoot Rocky,2.88,3.5,5.5
2026-01-17,Sheffield,19:47,A,A,Croagh Patrick,Corcass Ranger,Dapper Ted,2.88,3.75,4.5
2026-01-17,Sheffield,20:04,A,A,Gurtnacrehy Mark,Joyces Sadie,Swift Usual,2.1,2.38,3.5
2026-01-17,Sheffield,20:21,A,A,Colrose Blue,Keady Wine,Golfing Queen,3.2,3.75,3.75
2026-01-17,Sheffield,20:38,A,A,Mustang Gracie,Station Cracker,The Other Coco,1.91,3.0,3.25
2026-01-17,Sheffield,20:55,A,A,Colrose Flyer,Epic Estimate,Colrose Star,2.75,4.5,4.5
2026-01-17,Sheffield,21:12,A,A,Crystal Bruno,Tatti Gamble,Rackethall Penny,1.2,3.25,5.5
2026-01-17,Sheffield,21:29,A,A,Rowington Rebel,La Hermosa,Debbiethewitch,1.91,3.75,5.0
