date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-18,Sunderland,Sunderland,11:27,2026-01-18T11:27,A7,A7,Balmoral Lucy,Barnfield Muffin,Anglesey Flight,Balmoral Lucy,Barnfield Muffin,Anglesey Flight,2.88,4.33,5.0
2026-01-18,Sunderland,Sunderland,11:43,2026-01-18T11:43,D3,D3,Avas Attitude,Malibu Jota,Maes Star,Malibu Jota,Avas Attitude,Maes Star,2.25,3.5,6.5
2026-01-18,Sunderland,Sunderland,12:01,2026-01-18T12:01,A7,A7,Watermill Minnie,Mascot Samson,Fruity Ninja,Watermill Minnie,Mascot Samson,Fruity Ninja,2.88,5.0,5.0
2026-01-18,Sunderland,Sunderland,12:18,2026-01-18T12:18,A3,A3,Droopys Kendall,Headford Srange,Surprise Blue,Headford Srange,Droopys Kendall,Rebel Da Gama,4.0,4.5,5.0
2026-01-18,Sunderland,Sunderland,12:34,2026-01-18T12:34,HP,HP,Kippers Puma,Westforth Doit,Lillies Bubbles,Kippers Puma,Westforth Doit,Lemming Schvitz,3.25,3.75,5.0
2026-01-18,Sunderland,Sunderland,12:51,2026-01-18T12:51,A5,A5,Slowdown Seamus,Droopys Fetch,Anglesey Rolex,Droopys Fetch,Slowdown Seamus,Anglesey Rolex,3.25,4.5,5.0
2026-01-18,Sunderland,Sunderland,13:08,2026-01-18T13:08,D2,D2,Hi Tyson,Knocknadoguebony,Canya Peggy,Hi Tyson,Macys Majesty,Knocknadoguebony,3.25,4.0,5.0
2026-01-18,Sunderland,Sunderland,13:26,2026-01-18T13:26,A8,A8,Marinas Macau,Mascot Delilah,Dellser Cassie,Mascot Delilah,Marinas Macau,Dellser Cassie,2.88,3.0,4.0
2026-01-18,Sunderland,Sunderland,13:42,2026-01-18T13:42,HP,HP,Mustang Poppy,Solsbury Hill,Cahirard Blue,Cahirard Blue,Mustang Poppy,Solsbury Hill,3.75,4.0,4.0
2026-01-18,Sunderland,Sunderland,13:59,2026-01-18T13:59,A4,A4,Panda Panda,Emers Pandora,Aero Donishall,Panda Panda,Emers Pandora,Aero Donishall,2.5,3.5,4.33
2026-01-18,Sunderland,Sunderland,14:14,2026-01-18T14:14,A5,A5,Roaming Ariana,Droopys Marie,Stackemup Jack,Roaming Ariana,Droopys Marie,Aero Tioman,2.1,4.5,6.0
2026-01-18,Yarmouth,Yarmouth,11:34,2026-01-18T11:34,A7,A7,Oh So Risky,Zephyr Rampage,Zoo Da Man,Oh So Risky,Zephyr Rampage,Zoo Da Man,3.0,4.0,5.0
2026-01-18,Yarmouth,Yarmouth,11:52,2026-01-18T11:52,A8,A8,Deelish Lily,Whos The Culprit,Romantic Icon,Deelish Lily,Romantic Icon,Oh So Lucy,3.0,4.33,4.5
2026-01-18,Yarmouth,Yarmouth,12:09,2026-01-18T12:09,A5,A5,Plain Virtue,Marinas Diva,Unlikely Biscuit,Marinas Diva,Plain Virtue,Unlikely Biscuit,3.2,3.5,4.0
2026-01-18,Yarmouth,Yarmouth,12:26,2026-01-18T12:26,IV,IV,Getaway Car,Crypto Only Mate,Laughil Pippa,Getaway Car,Crypto Only Mate,Laughil Pippa,1.83,6.0,6.5
2026-01-18,Yarmouth,Yarmouth,12:42,2026-01-18T12:42,A8,A8,Wachovia Manor,Jinksy Lass,Harlequin Xena,Wachovia Manor,Jinksy Lass,Gortnagrage Bell,3.25,4.0,5.0
2026-01-18,Yarmouth,Yarmouth,12:59,2026-01-18T12:59,A3,A3,Ballygloss Mike,Somersham Faith,Greizmann,Ballygloss Mike,Somersham Faith,Greizmann,3.25,3.75,4.0
2026-01-18,Yarmouth,Yarmouth,13:17,2026-01-18T13:17,A9,A9,Liberty Belle,Homesick Blues,Swift Lyrical,Liberty Belle,Homesick Blues,Seeyouatlake,2.5,4.0,6.0
2026-01-18,Yarmouth,Yarmouth,13:33,2026-01-18T13:33,A6,A6,Derrygrath Freya,Angel Delight,Somersham Sox,Somersham Sox,Derrygrath Freya,Take Off Disney,3.75,4.5,5.0
2026-01-18,Yarmouth,Yarmouth,13:51,2026-01-18T13:51,A2,A2,Harlequin Gambit,Cassandras Girl,Somersham Lexie,Cassandras Girl,Harlequin Gambit,Somersham Lexie,2.38,4.5,5.5
2026-01-18,Yarmouth,Yarmouth,14:07,2026-01-18T14:07,A9,A9,Waikiki Sapphire,Cheery Girl,Trip No Bother,Waikiki Sapphire,Cheery Girl,Trip No Bother,2.62,4.5,5.0
2026-01-18,Hove,Hove,14:23,2026-01-18T14:23,A5,A5,Sly Big Bird,Lupi Lopez,Droopys Crafty,Sly Big Bird,Lupi Lopez,Droopys Crafty,3.0,4.5,5.5
2026-01-18,Hove,Hove,14:41,2026-01-18T14:41,A7,A7,Stone Cold Punk,Mustang Maverick,Yankee Molly,Stone Cold Punk,Mustang Maverick,Yankee Molly,2.0,4.0,5.0
2026-01-18,Hove,Hove,15:01,2026-01-18T15:01,A2,A2,Clonkeen Jim,Droopys Freckles,Sly Wobblebottom,Sly Wobblebottom,Clonkeen Jim,Droopys Freckles,2.38,3.2,3.75
2026-01-18,Hove,Hove,15:19,2026-01-18T15:19,D3,D3,St Crispins Day,Natural World,Burrow Lightyear,St Crispins Day,Natural World,Burrow Lightyear,1.73,3.75,4.5
2026-01-18,Hove,Hove,15:38,2026-01-18T15:38,A10,A10,Roanna Dixie,Stefans Bomb,Speed Time,Roanna Dixie,Stefans Bomb,Speed Time,2.88,4.0,4.0
2026-01-18,Hove,Hove,15:57,2026-01-18T15:57,A5,A5,Magical Tessa,Pocket Lacey,Backoftheline,Magical Tessa,Pocket Lacey,Signet Clo Clo,3.25,3.25,4.33
2026-01-18,Hove,Hove,16:16,2026-01-18T16:16,A2,A2,Sporting Bafta,Shes One Eighty,Senahel Pikachu,Sporting Bafta,Shes One Eighty,Senahel Pikachu,3.0,3.75,4.0
2026-01-18,Hove,Hove,16:34,2026-01-18T16:34,A1,A1,Razor Gun,My Mate Ronnie,Razldazl Barkley,My Mate Ronnie,Razor Gun,Razldazl Barkley,2.75,4.0,4.33
2026-01-18,Hove,Hove,16:53,2026-01-18T16:53,A6,A6,Front Loaded,Caramels Cream,Hi Land Miss,Front Loaded,Caramels Cream,Uptown Lass,3.5,3.75,6.0
2026-01-18,Hove,Hove,17:12,2026-01-18T17:12,A3,A3,Gretna,Playit Cool Trig,Slick Sabo,Gretna,Playit Cool Trig,Slick Sabo,2.25,3.0,5.0
2026-01-18,Hove,Hove,17:31,2026-01-18T17:31,A4,A4,Exotic Princess,Able Partner,Kates Bart,Able Partner,Exotic Princess,Kates Bart,4.0,4.5,4.5
2026-01-18,Hove,Hove,17:49,2026-01-18T17:49,A1,A1,Broncos Bullet,Clairkeith Santi,Kick On Archie,Broncos Bullet,Clairkeith Santi,Kick On Archie,2.88,4.0,4.33
2026-01-18,Sheffield,Sheffield,14:29,2026-01-18T14:29,IV,IV,Romeo Force,Tricky Wiggles,Romeo Cobra,Romeo Force,Tricky Wiggles,Romeo Cobra,3.0,3.0,4.5
2026-01-18,Sheffield,Sheffield,14:48,2026-01-18T14:48,IV,IV,Hoyland Lad,Crokers Darwin,Russanda Zara,Hoyland Lad,Crokers Darwin,Aero Thunder,2.62,2.88,4.5
2026-01-18,Sheffield,Sheffield,15:07,2026-01-18T15:07,A6,A6,Magna Phoenix,Any Dream,Lowgate Blue Boy,Any Dream,Magna Phoenix,Lowgate Blue Boy,2.25,4.0,4.5
2026-01-18,Sheffield,Sheffield,15:26,2026-01-18T15:26,IV,IV,Aurora Dawn,Inca Connect,Vale Speedy,Aurora Dawn,Vale Speedy,Inca Connect,1.57,4.5,6.0
2026-01-18,Sheffield,Sheffield,15:44,2026-01-18T15:44,IV,IV,Cooladerrydancer,Aero Osprey,Aero Dignity,Cooladerrydancer,Aero Osprey,Aero Dignity,2.1,3.2,4.5
2026-01-18,Sheffield,Sheffield,16:03,2026-01-18T16:03,A4,A4,Rockmount Lucy,Romeo Pilot,Unique John,Rockmount Lucy,Unique John,Romeo Pilot,1.73,3.5,5.0
2026-01-18,Sheffield,Sheffield,16:22,2026-01-18T16:22,A3,A3,Very Elegant,Swift Mel,Savanaregimental,Very Elegant,Swift Mel,Savanaregimental,1.83,4.0,7.0
2026-01-18,Sheffield,Sheffield,16:41,2026-01-18T16:41,A5,A5,Effernogue Dave,Nolas Conroe,Coxys Girl,Coxys Girl,Effernogue Dave,Nolas Conroe,3.75,3.75,4.0
2026-01-18,Sheffield,Sheffield,16:59,2026-01-18T16:59,A8,A8,Classy Chloe,Dirty Velvet,Bromista,Classy Chloe,Dirty Velvet,Costly Chips,2.2,3.5,5.5
2026-01-18,Sheffield,Sheffield,17:18,2026-01-18T17:18,A2,A2,Good Knick,Slippy Keith,Chart Topper,Good Knick,Chart Topper,Slippy Keith,3.25,4.0,4.0
2026-01-18,Sheffield,Sheffield,17:37,2026-01-18T17:37,D3,D3,Spatter The Dew,Freedom Layla,Pelorus Jack,Spatter The Dew,Freedom Layla,Pelorus Jack,2.38,4.0,4.0
2026-01-18,Sheffield,Sheffield,17:56,2026-01-18T17:56,D3,D3,Cyclers Ruby,Lowgate Jack,Shockwave Taboo,Lowgate Jack,Cyclers Ruby,Shockwave Taboo,3.2,3.5,3.75
2026-01-18,Towcester,Towcester,14:36,2026-01-18T14:36,A7,A7,Flickering King,Vinegarhill Luna,Itwaswhatitwas,Flickering King,Itwaswhatitwas,Vinegarhill Luna,3.75,4.33,4.5
2026-01-18,Towcester,Towcester,14:54,2026-01-18T14:54,OR,OR,Chasing Rachel,Fabulous Hana,Fabulous Trick,Chasing Rachel,Fabulous Hana,Ballintee Uno,1.67,4.5,5.5
2026-01-18,Towcester,Towcester,15:13,2026-01-18T15:13,OR,OR,Fire Height Lila,Not So Steady,Baby Warrior,Not So Steady,Fire Height Lila,Cartoonist,3.25,3.5,5.0
2026-01-18,Towcester,Towcester,15:32,2026-01-18T15:32,A2,A2,Spiridon Zelus,Java Joan,Signet Tess,Spiridon Zelus,Signet Tess,Java Joan,2.5,3.75,5.0
2026-01-18,Towcester,Towcester,15:51,2026-01-18T15:51,OR,OR,Droopys Graph,Newinn Tonic,Bower Aoibhin,Droopys Graph,Bower Aoibhin,Newinn Tonic,1.67,5.0,5.0
2026-01-18,Towcester,Towcester,16:09,2026-01-18T16:09,A6,A6,Moredramakirstie,Homebound Blanko,Jackies Hero,Moredramakirstie,Salacres Damaine,Jackies Hero,3.25,4.5,5.0
2026-01-18,Towcester,Towcester,16:28,2026-01-18T16:28,OR,OR,Born Racer,Pavilion Team,Broadway Murty,Born Racer,Pavilion Team,Broadway Murty,1.57,4.5,4.5
2026-01-18,Towcester,Towcester,16:47,2026-01-18T16:47,S1,S1,Salacres Belleza,Innfield Charm,Coffee Time Guys,Salacres Belleza,Innfield Charm,Coffee Time Guys,2.5,3.25,3.25
2026-01-18,Towcester,Towcester,17:06,2026-01-18T17:06,OR,OR,Slick Sentinel,Getup Me Izzy,Fabulous Aria,Slick Sentinel,Fabulous Aria,Getup Me Izzy,2.2,2.62,4.5
2026-01-18,Towcester,Towcester,17:24,2026-01-18T17:24,A5,A5,Flickering Belle,Salacres Sahara,Marians Hero,Flickering Belle,Salacres Sahara,Debossman,3.75,3.75,4.33
2026-01-18,Towcester,Towcester,17:43,2026-01-18T17:43,D2,D2,Flitwick Girl,Burrow Amazing,Claim The Stars,Flitwick Girl,Burrow Amazing,Salthill Albie,3.25,4.0,4.5
2026-01-18,Towcester,Towcester,18:02,2026-01-18T18:02,A4,A4,Salacresvictoria,Unlikely Doohoma,Glencoe Queen,Salacresvictoria,Unlikely Doohoma,Glencoe Queen,3.75,3.75,5.0
2026-01-18,Kinsley,Kinsley,18:08,2026-01-18T18:08,D3,D3,Tally Ho Lexi,Fuel Inthe Flame,Moanteen Chick,Tally Ho Lexi,Moanteen Chick,Fuel Inthe Flame,3.0,4.5,4.5
2026-01-18,Kinsley,Kinsley,18:26,2026-01-18T18:26,A6,A6,Teddys Beauty,Not Wired Up,Blueview Sugger,Teddys Beauty,Blueview Sugger,Not Wired Up,3.75,4.5,4.5
2026-01-18,Kinsley,Kinsley,18:42,2026-01-18T18:42,D5,D5,Lets Go Winnie,Noirs Coach,Lets Go Drago,Noirs Coach,Lets Go Winnie,Lets Go Drago,3.0,3.25,4.5
2026-01-18,Kinsley,Kinsley,18:59,2026-01-18T18:59,A8,A8,Maceyslittlegem,Two For Gold,Mohican Yoshi,Two For Gold,Maceyslittlegem,Mohican Yoshi,3.75,4.0,4.5
2026-01-18,Kinsley,Kinsley,19:16,2026-01-18T19:16,D1,D1,Ard Macha Abu,Canya Jet,Clongeen General,Ard Macha Abu,Canya Jet,Ballymac Pria,2.88,4.5,5.5
2026-01-18,Kinsley,Kinsley,19:33,2026-01-18T19:33,HP,HP,Holborn Betty,Deecee Ava,Sober Ballad,Holborn Betty,Deecee Ava,Sober Ballad,4.0,4.5,5.0
2026-01-18,Kinsley,Kinsley,19:49,2026-01-18T19:49,D2,D2,Speedy Killeavy,Deelish Lucy,Grovenor Jessie,Speedy Killeavy,Grovenor Jessie,Deelish Lucy,3.5,4.33,4.5
2026-01-18,Kinsley,Kinsley,20:07,2026-01-18T20:07,HP,HP,Yeah Mick,Lightfoot Elle,Nellys Promise,Yeah Mick,Grovenor Albie,Lightfoot Elle,3.75,4.0,4.0
2026-01-18,Kinsley,Kinsley,20:24,2026-01-18T20:24,A5,A5,Ballydaniel Cat,Woodenstown Soul,Laid Back,Ballydaniel Cat,Laid Back,Woodenstown Soul,3.75,4.33,5.0
2026-01-18,Kinsley,Kinsley,20:41,2026-01-18T20:41,A4,A4,Take Top Spot,Highview Roots,Swift Office,Take Top Spot,Swift Office,Ballymac Wynett,3.5,4.5,5.0
2026-01-18,Kinsley,Kinsley,20:59,2026-01-18T20:59,A7,A7,Zaconey Venus,Baybush Rush,Hazelgrove Amani,Zaconey Venus,Hazelgrove Amani,Barter Account,3.75,4.5,5.0
2026-01-18,Kinsley,Kinsley,21:16,2026-01-18T21:16,D4,D4,Daniel Maxi,Ineedabreak,Spooky Angel,Daniel Maxi,Ineedabreak,Spooky Angel,3.0,4.5,5.0
2026-01-18,Doncaster,Doncaster,11:21,2026-01-18T11:21,B2,B2,Send For You,Trewmount Lady,Miller Spirit,Send For You,Trewmount Lady,Miller Spirit,1.73,3.5,5.0
2026-01-18,Doncaster,Doncaster,11:38,2026-01-18T11:38,B2,B2,Ballinderry Luna,Ballymac Aman,Ballyconnell Rua,Ballymac Aman,Ballinderry Luna,Ballyconnell Rua,2.88,2.88,4.5
2026-01-18,Doncaster,Doncaster,11:54,2026-01-18T11:54,B2,B2,Gaytime Mona,Redbrick Milner,Jazza Man,Redbrick Milner,Gaytime Mona,Jazza Man,2.38,2.38,6.0
2026-01-18,Doncaster,Doncaster,12:12,2026-01-18T12:12,B4,B4,Redbrick Beyonce,Redbrick Cool,Millhouse Charm,Redbrick Cool,Redbrick Beyonce,Millhouse Charm,2.38,2.75,3.75
2026-01-18,Doncaster,Doncaster,12:29,2026-01-18T12:29,B4,B4,Redbrick Rose,Task Maverick,Glitter Cooky,Redbrick Rose,Glitter Cooky,Task Maverick,1.57,5.5,5.5
2026-01-18,Doncaster,Doncaster,12:46,2026-01-18T12:46,B2,B2,Redbrick Daisy,Gotacrushonyou,Lovey Longlegs,Redbrick Daisy,Gotacrushonyou,Lovey Longlegs,1.91,2.88,4.33
2026-01-18,Doncaster,Doncaster,13:03,2026-01-18T13:03,B4,B4,Redbrick Nuke,Luttons Reuben,Stoney Bono,Redbrick Nuke,Stoney Bono,Luttons Reuben,2.62,3.25,4.0
2026-01-18,Doncaster,Doncaster,13:19,2026-01-18T13:19,D2,D2,Keefill Apollo,Sparks Charm,Romantic Dano,Keefill Apollo,Sparks Charm,Romantic Dano,1.91,4.0,5.5
2026-01-18,Valley,Valley,11:29,2026-01-18T11:29,A2,A2,Da Bold Paris,Clongeel Bono,Droopys Priority,Da Bold Paris,Clongeel Bono,Rollerball,2.5,4.0,4.0
2026-01-18,Valley,Valley,11:47,2026-01-18T11:47,D2,D2,Hawkfield Coco,Hawkfield Jazz,Amiganwhitenose,Hawkfield Coco,Hawkfield Jazz,Amiganwhitenose,2.75,3.25,3.75
2026-01-18,Valley,Valley,12:04,2026-01-18T12:04,A2,A2,Droopys Nijinsky,Sudden Bolt,Crokers Faye,Droopys Nijinsky,Sudden Bolt,Crokers Faye,2.2,3.75,4.5
2026-01-18,Valley,Valley,12:21,2026-01-18T12:21,D5,D5,Frugal Frank,Hawkfield Hoffa,Tobergal Suzanne,Frugal Frank,Tobergal Suzanne,Hawkfield Hoffa,2.75,4.0,5.0
2026-01-18,Valley,Valley,12:38,2026-01-18T12:38,A3,A3,Santas Ranger,Kranky Tom,Southfield Kate,Santas Ranger,Kranky Tom,Good Streak,2.75,4.0,4.5
2026-01-18,Valley,Valley,12:54,2026-01-18T12:54,D4,D4,Kippagh Epic,Crokers Lisa,Millbank Lolly,Kippagh Epic,Crokers Lisa,Cara Trixie,3.5,4.0,5.5
2026-01-18,Valley,Valley,13:12,2026-01-18T13:12,D6,D6,Hawkfield Nina,Pure Paora,Faradays Sparkle,Hawkfield Nina,Pure Paora,Enchanted Blaze,3.25,3.5,3.75
2026-01-18,Valley,Valley,13:29,2026-01-18T13:29,A5,A5,Crokers Pat,Blastoff Oscar,Country Skipper,Crokers Pat,Blastoff Oscar,Country Skipper,2.0,3.5,5.0
2026-01-18,Valley,Valley,13:47,2026-01-18T13:47,D6,D6,Hawkfield Zippy,Bow Fiddle Rock,Hawkfield Ellie,Hawkfield Zippy,Bow Fiddle Rock,Pandy Morgan,2.5,4.33,5.0
2026-01-18,Valley,Valley,14:03,2026-01-18T14:03,A6,A6,Knockmant Zee,Crokers Grayson,Crokers Anton,Knockmant Zee,Crokers Grayson,Crokers Anton,2.38,3.25,4.5
2026-01-18,Valley,Valley,14:18,2026-01-18T14:18,D5,D5,Hawkfield Jasmin,To Bright,Comer Ranger,Hawkfield Jasmin,Tobergal Denise,To Bright,3.25,5.0,5.0
2026-01-18,Oxford,Oxford,14:33,2026-01-18T14:33,A4,A4,Ragdoll Rosie,Bonita Moon,Dreamin Dot,Ragdoll Rosie,Bonita Moon,Dreamin Dot,1.73,3.75,5.5
2026-01-18,Oxford,Oxford,14:52,2026-01-18T14:52,A2,A2,Swift Quarter,Shes Welcome,Deelish Crofty,Swift Quarter,Shes Welcome,Deelish Crofty,3.0,3.5,4.0
2026-01-18,Oxford,Oxford,15:11,2026-01-18T15:11,OR,OR,Eze,Ballintemple Dan,Dunquin Rory,Ballintemple Dan,Eze,Rapido Judy,3.25,3.5,3.75
2026-01-18,Oxford,Oxford,15:29,2026-01-18T15:29,OR,OR,Alright Twinkle,Easy Molly,Newinn Bliss,Alright Twinkle,Easy Molly,Newinn Bliss,2.25,5.0,5.5
2026-01-18,Oxford,Oxford,15:49,2026-01-18T15:49,OR,OR,Jazzy Soul,Face The Storm,Dog Dog,Jazzy Soul,Face The Storm,Baggios Belter,3.0,4.5,5.0
2026-01-18,Oxford,Oxford,16:07,2026-01-18T16:07,OR,OR,Carrick Scholsey,Hoholetsgo,Dunquin Simone,Hoholetsgo,Carrick Scholsey,Havana Sizzler,3.5,4.0,5.5
2026-01-18,Oxford,Oxford,16:26,2026-01-18T16:26,OR,OR,Eagles Respect,Baggios Dilemma,Malcolm Bosh,Eagles Respect,Alright Patricia,Baggios Dilemma,3.5,3.75,5.0
2026-01-18,Oxford,Oxford,16:44,2026-01-18T16:44,OR,OR,Outa The Clouds,Jazzy Mia,Doc Susie,Outa The Clouds,Jazzy Mia,Doc Susie,1.62,4.5,5.0
2026-01-18,Oxford,Oxford,17:03,2026-01-18T17:03,OR,OR,Droopys Aladdin,Always Hoffa,Crossfield Niall,Droopys Aladdin,Always Hoffa,Crossfield Niall,1.8,5.0,6.0
2026-01-18,Star Pelaw,Star Pelaw,18:11,2026-01-18T18:11,A4,A4,Shanahee Roxy,Ma Darlin,Duggies Lilo,Duggies Lilo,Shanahee Roxy,Ma Darlin,3.0,3.75,4.5
2026-01-18,Star Pelaw,Star Pelaw,18:29,2026-01-18T18:29,A8,A8,Catunda Leo,Glenbowen Mabel,Oceans Blue,Glenbowen Mabel,Catunda Leo,Oceans Blue,1.73,1.91,4.0
2026-01-18,Star Pelaw,Star Pelaw,18:46,2026-01-18T18:46,OR,OR,Killieford Goram,Fabulous Spell,Winter King,Killieford Goram,Winter King,Fabulous Spell,1.67,3.0,5.0
2026-01-18,Star Pelaw,Star Pelaw,19:04,2026-01-18T19:04,OR,OR,Lightfoot Jamie,Catch The Wind,Loxleys Rex,Lightfoot Jamie,Catch The Wind,Loxleys Rex,2.25,3.0,3.5
2026-01-18,Star Pelaw,Star Pelaw,19:24,2026-01-18T19:24,OR,OR,Freedom Pro Am,Townspark Taylor,Gallarus Sniper,Gallarus Sniper,Freedom Pro Am,Townspark Taylor,2.25,2.62,7.0
2026-01-18,Star Pelaw,Star Pelaw,19:42,2026-01-18T19:42,OR,OR,Makeit Champion,Twistablindeye,Roanna Speed,Makeit Champion,Twistablindeye,Roanna Speed,1.91,3.5,5.5
2026-01-18,Star Pelaw,Star Pelaw,19:58,2026-01-18T19:58,OR,OR,Marymount Joy,Tickets King,Wanted Tibet,Marymount Joy,Wanted Tibet,Blackstone Senna,1.73,6.0,6.5
2026-01-18,Star Pelaw,Star Pelaw,20:16,2026-01-18T20:16,OR,OR,Bisto Jayden,Mid Tipp Franky,Eden Hagrid,Bisto Jayden,Fruity Sprite,Mid Tipp Franky,1.2,6.5,7.0
2026-01-18,Star Pelaw,Star Pelaw,20:34,2026-01-18T20:34,OR,OR,Fruity Fanta,Beslo Sarah,Cash Maker,Cash Maker,Beslo Sarah,Fruity Fanta,2.88,3.25,4.33
2026-01-18,Star Pelaw,Star Pelaw,20:52,2026-01-18T20:52,OR,OR,Sunnyside Ted,Dreamin Porcha,Tullymurry Shine,Dreamin Porcha,Sunnyside Ted,Nah Then Keefill,2.1,3.2,6.5
2026-01-18,Star Pelaw,Star Pelaw,21:09,2026-01-18T21:09,OR,OR,Fruity Beauty,Ballinabola Eve,Spy Master,Ballinabola Eve,Fruity Beauty,Innfield Storm,1.83,3.75,4.0
2026-01-18,Star Pelaw,Star Pelaw,21:26,2026-01-18T21:26,OR,OR,Keefill Darwin,Leathems Bluey,Links Viper,Keefill Darwin,Leathems Bluey,Links Ginola,2.38,2.88,5.0
2026-01-18,Star Pelaw,Star Pelaw,21:41,2026-01-18T21:41,OR,OR,Sunnyside Jayden,Blueys Elle,Burrow Bell,Sunnyside Jayden,Blueys Elle,Moanteen Pudding,2.88,4.0,4.5
